fold,evaluation_year,dimension,regime,model,rows,positives,pr_auc,roc_auc,brier,log_loss,prevalence,ece_10,calibration_slope,calibration_intercept,top_decile_precision,top_decile_lift
eval_2024,2024,market_trend,down,temporal_tabular,22499,1973,0.19933856423454702,0.6663267222578373,0.07661018516429564,0.2817232245224193,0.08769278634605983,0.016810773692354862,0.9883808625115127,0.2136388530295976,0.23244444444444445,2.650667792983049
eval_2024,2024,market_trend,down,range_persistence,22499,1973,0.1408264712017419,0.5837010693766609,0.08356209094147996,0.30844802038952784,0.08769278634605983,0.05124667708304818,0.5325319184124038,-1.3406342929634871,0.18622222222222223,2.123575153460607
eval_2024,2024,market_trend,down,logit_state,22499,1973,0.15343831695813012,0.6153149610751676,0.08068737205276479,0.297228296288288,0.08769278634605983,0.03427910200839947,0.6050460423313546,-1.0792985065734875,0.19644444444444445,2.240143717970378
eval_2024,2024,market_trend,down,lgbm_price_liquidity,22499,1973,0.15926971610045765,0.616460727074593,0.07986351798061837,0.29399019770215246,0.08769278634605983,0.02787471630271469,0.6006956940730959,-1.0042659336245698,0.196,2.2350755195134315
eval_2024,2024,market_trend,down,lgbm_state,22499,1973,0.1725379872157002,0.6316241441077859,0.07756985989332266,0.2859277535283519,0.08769278634605983,0.01061360197141919,0.9236939418606547,-0.2718966061828929,0.21288888888888888,2.4276670608774
eval_2024,2024,market_trend,up,temporal_tabular,30919,4289,0.36861333410864455,0.7642375017806164,0.10440794964120624,0.34711004735955836,0.13871729357353083,0.01753503237882441,1.071925618957262,0.27444160259231914,0.4359637774902975,3.142822111499769
eval_2024,2024,market_trend,up,range_persistence,30919,4289,0.25116971127363175,0.6563229412463588,0.11470110424249576,0.3844250558433154,0.13871729357353083,0.010944081567302654,0.8254637625692984,-0.36824728763331177,0.31803490627020037,2.2926839046323915
eval_2024,2024,market_trend,up,logit_state,30919,4289,0.2955932402334859,0.6925008275980779,0.11177988356955901,0.37503136443594615,0.13871729357353083,0.022410174524211846,0.8332237602597179,-0.4158538878785832,0.3586675291073739,2.585600683719024
eval_2024,2024,market_trend,up,lgbm_price_liquidity,30919,4289,0.26421914804090185,0.6701930735315967,0.11369979398019621,0.38262204714156545,0.13871729357353083,0.022341361399285452,0.7449370695630105,-0.32582950191006094,0.32761966364812417,2.361779524443076
eval_2024,2024,market_trend,up,lgbm_state,30919,4289,0.28254477815306794,0.7021857957466056,0.11190220928979021,0.37325318247454725,0.13871729357353083,0.017656917252759214,0.9424364577843174,0.010705002357575388,0.34184993531694696,2.4643642224445523
eval_2024,2024,market_volatility,high,temporal_tabular,23970,3254,0.36458645567623893,0.7582073300133049,0.10289838193632694,0.3445506297759428,0.13575302461410096,0.01865548346526564,1.0463573917742242,0.2750449081225409,0.43679599499374216,3.2175783650891208
eval_2024,2024,market_volatility,high,range_persistence,23970,3254,0.23678501019268808,0.6477041846576044,0.11422974783292404,0.38378637895903367,0.13575302461410096,0.023477749675930748,0.7723342561408317,-0.5471275834685282,0.29912390488110135,2.2034419176398274
