bin,rows,predicted,observed,evaluation_year,model
0,5342,0.03468989984406444,0.0595282665668289,2024,lgbm_price_liquidity
1,5342,0.04598851788503179,0.06345937850992138,2024,lgbm_price_liquidity
2,5342,0.055737477870901775,0.07469112691875703,2024,lgbm_price_liquidity
3,5341,0.06588321208811529,0.0763901891031642,2024,lgbm_price_liquidity
4,5342,0.07741147894484872,0.08536128790715088,2024,lgbm_price_liquidity
5,5342,0.09213240022442062,0.10351928116810183,2024,lgbm_price_liquidity
6,5341,0.11195292916423376,0.11945328590151658,2024,lgbm_price_liquidity
7,5342,0.14103267298331654,0.1334706102583302,2024,lgbm_price_liquidity
8,5342,0.19041496964278257,0.17296892549606888,2024,lgbm_price_liquidity
9,5342,0.34628378992281805,0.283414451516286,2024,lgbm_price_liquidity
0,5342,0.0479989488319287,0.04324223137401722,2024,lgbm_state
1,5342,0.05838285525326224,0.0615874204417821,2024,lgbm_state
2,5342,0.06592634213876401,0.06327218270310744,2024,lgbm_state
3,5341,0.07360316983293916,0.07058603257816888,2024,lgbm_state
4,5342,0.08233165842238951,0.08217895919131411,2024,lgbm_state
5,5342,0.09297634703036294,0.09378509921377762,2024,lgbm_state
6,5341,0.1073463304021231,0.12113836360232166,2024,lgbm_state
7,5342,0.12939943572209184,0.13927368026956197,2024,lgbm_state
8,5342,0.1696316230206667,0.18476226132534632,2024,lgbm_state
9,5342,0.31200301513157497,0.31242980157244477,2024,lgbm_state
0,5342,0.04081204631639543,0.0595282665668289,2024,logit_state
1,5342,0.059067165156523466,0.0615874204417821,2024,logit_state
2,5342,0.0716930563746676,0.0636465743167353,2024,logit_state
3,5341,0.0842750151204415,0.0674031080322037,2024,logit_state
4,5342,0.09795996414076878,0.08573567952077873,2024,logit_state
5,5342,0.11432666725694764,0.09359790340696368,2024,logit_state
6,5341,0.13619313081902681,0.1181426699120015,2024,logit_state
7,5342,0.16885623081265308,0.13627854736053913,2024,logit_state
8,5342,0.22860046092376365,0.18083114938225384,2024,logit_state
9,5342,0.39944693254410596,0.30550355672032947,2024,logit_state
0,5351,0.06621775121197272,0.07568678751635208,2024,range_persistence
1,5345,0.07917020834637548,0.07595884003741815,2024,range_persistence
2,5355,0.08922320397980255,0.07338935574229692,2024,range_persistence
3,5316,0.09870989495685503,0.08182844243792325,2024,range_persistence
4,5343,0.10839740801043406,0.09021149167134569,2024,range_persistence
5,5341,0.11941372039920391,0.09848343006927542,2024,range_persistence
6,5341,0.136813537316269,0.11046620483055608,2024,range_persistence
7,5342,0.16218738430670424,0.12822912766754024,2024,range_persistence
8,5342,0.2099058118767336,0.17334331710969675,2024,range_persistence
9,5342,0.36160095375495754,0.2646948708348933,2024,range_persistence
0,5342,0.027587473694896184,0.026020217147135906,2024,temporal_tabular
1,5342,0.037711180505199476,0.0451141894421565,2024,temporal_tabular
2,5342,0.04544450022909234,0.05185323848745788,2024,temporal_tabular
3,5341,0.053352883151800215,0.06478187605317356,2024,temporal_tabular
4,5342,0.06245613124197853,0.0752527143391988,2024,temporal_tabular
5,5342,0.07431324425790471,0.08086858854361663,2024,temporal_tabular
6,5341,0.09096196918111685,0.11065343568620109,2024,temporal_tabular
7,5342,0.11719208042406157,0.1347809809060277,2024,temporal_tabular
8,5342,0.16981195007363362,0.2004867090977162,2024,temporal_tabular
9,5342,0.33486948176543396,0.3824410333208536,2024,temporal_tabular
0,5454,0.0417157461332868,0.04693802713604694,2025,lgbm_price_liquidity
1,5454,0.05061267309928682,0.057755775577557754,2025,lgbm_price_liquidity
2,5454,0.05753221153114348,0.05463879721305464,2025,lgbm_price_liquidity
3,5453,0.06474058064965627,0.06913625527232715,2025,lgbm_price_liquidity
4,5454,0.07322809624441616,0.08030803080308031,2025,lgbm_price_liquidity
5,5454,0.08406003337076033,0.09039237257059039,2025,lgbm_price_liquidity
6,5453,0.09904927308281682,0.10893086374472767,2025,lgbm_price_liquidity
7,5454,0.12010667270105711,0.13164649798313163,2025,lgbm_price_liquidity
8,5454,0.15189080973286456,0.162999633296663,2025,lgbm_price_liquidity
9,5454,0.25103840218041423,0.2480748074807481,2025,lgbm_price_liquidity
0,5454,0.042306848265833356,0.04400440044004401,2025,lgbm_state
1,5454,0.052291098486571395,0.05922258892555922,2025,lgbm_state
2,5454,0.060135826062531976,0.061606160616061605,2025,lgbm_state
3,5453,0.0680936366430375,0.06675224646983312,2025,lgbm_state
4,5454,0.07712678285405394,0.08232489915658232,2025,lgbm_state
5,5454,0.08839237913417665,0.08489182251558489,2025,lgbm_state
6,5453,0.10280882755988739,0.10452961672473868,2025,lgbm_state
7,5454,0.12320203762948699,0.13256325632563257,2025,lgbm_state
8,5454,0.15731033845721484,0.15878254492115879,2025,lgbm_state
9,5454,0.25622377515232725,0.25614228089475616,2025,lgbm_state
0,5454,0.04083889202597371,0.04712137880454712,2025,logit_state
1,5454,0.0546785600949392,0.05207187385405207,2025,logit_state
2,5454,0.0639797835945709,0.060872753942060875,2025,logit_state
3,5453,0.07282518406539418,0.06546854942233633,2025,logit_state
4,5454,0.08222615565769661,0.07315731573157316,2025,logit_state
5,5454,0.09320292217626962,0.0814081408140814,2025,logit_state
6,5453,0.1074170761554734,0.10819732257472951,2025,logit_state
